match_id,name,backfill,role,characters,ultimates_used,eliminations,assists,deaths,damage,healing,mitigation,affiliation
1,lucioos,Yes,Support,Zenyatta,1,3,5,3,1469,1483,0,Friendly
1,Brodoe,No,Support,"Moira, Ana",3,7,5,7,3955,6626,107,Friendly
1,Soff,No,Support,Kiriko,3,1,22,2,653,7230,0,Opponent
1,TheBojangles,No,Support,Lucio,3,11,14,1,2413,6356,1542,Opponent
1,Lilowo,No,Tank,"Reinhardt, Zarya",2,8,2,7,5534,0,5478,Friendly
1,RealImpact,No,Tank,Doomfist,4,23,4,4,7918,0,5431,Opponent
1,Sanity,No,Damage,"Reaper, Soldier: 76",1,9,1,8,5064,1024,0,Friendly
1,Ozhiy,No,Damage,Junkrat ,2,13,3,7,6615,0,240,Friendly
1,Annihilator,No,Damage,Soldier: 76,2,15,0,5,4534,934,0,Opponent
1,PeteTheBest,No,Damage,"Bastion, Echo",3,21,4,5,6205,306,527,Opponent
2,lucioos,No,Support,Kiriko,1,12,16,1,1692,7189,0,Friendly
2,LemonViper,No,Support,Moira,1,20,7,2,4397,2684,0,Friendly
2,Fwgt,No,Support,Moira,2,5,2,8,2736,4738,0,Opponent
2,Rustimp,No,Support,"Illari, Mercy",2,0,4,5,136,4852,0,Opponent
2,SageBison,No,Tank,Orisa,2,18,3,3,8411,0,5184,Friendly
2,PinPeaches,No,Tank,Roadhog,2,4,1,5,3573,4061,979,Opponent
2,YouLoseTY,No,Damage,Junkrat,2,17,4,1,6817,0,0,Friendly
2,Peaches,No,Damage,Widowmaker,2,13,3,3,3253,0,0,Friendly
2,Emudoodle,No,Damage,"Soldier:76, Junkrat, Pharah",0,5,0,8,4066,325,0,Opponent
2,Wozi,No,Damage,"Ashe, Soldier:76",1,4,1,10,3539,275,0,Opponent
3,lucioos,Yes,Support,Zenyatta,1,10,12,3,2356,2236,0,Friendly
3,Hernan,No,Support,Lifeweaver,3,8,25,0,769,11819,551,Friendly
3,Keiguru,No,Support,Kiriko,2,2,7,9,1280,6621,0,Opponent
3,LoverArcade,No,Support,"Ana, Zenyatta",2,8,8,8,3376,5379,197,Opponent
3,GlawUpriser,No,Tank,Orisa,2,24,4,4,7462,0,4830,Friendly
3,PrixParade,No,Tank,"Doomfist, Zarya",3,14,3,7,9255,0,5992,Opponent
3,RightNutt,No,Damage,Hanzo ,5,27,3,5,8518,0,0,Friendly
3,GrayGNoll,No,Damage,"Tracer, Genji",3,18,0,5,5672,0,0,Friendly
3,Slim,No,Damage,"Cassidy, Sojourn, Soldier: 76",2,12,4,10,5848,955,0,Opponent
3,TheWatch4D,Yes,Damage,Torbjorn,0,1,0,5,2105,0,637,Opponent
4,lucioos,No,Support,"Kiriko, Zenyatta",3,13,15,8,3081,9997,0,Friendly
4,SleepyNinja,No,Support,"Baptiste, Ana",4,4,12,8,1898,11057,1050,Friendly
4,MurlocLeader,No,Support,"Ana, Lifeweaver",4,5,23,2,1590,8973,799,Opponent
4,Alextintor,No,Tank,"Roadhog, Winston, Zarya, Dva",3,17,2,9,8464,731,10249,Friendly
